,岗位,招聘关键字
0,架构师,"['以上', '架构师', '系统', '系统优化', '设计模式', '多线程', '设计', '熟悉', 'spring', '数据量', '核心', 'java', '架构', '开发', '并发', '精通', '基础', '分布式', '分布式系统', '优化', '框架', '经验', '应用', '技术', '数据库', '架构设计', '计算机相关']"
1,算法工程师,"['实现', '图像识别', '信号处理', '搜索', '推荐', '以上学历', '机器', 'python', '熟悉', '识别', '分割', '岗位职责', '数据结构', '深度', '图像', '信号', 'java', '计算机', '相关', 'matlab', '海量', '开发', '视觉', '医学', '算法', '图谱', 'c++', 'nlp', '研发', '优化', '数据', '模型', '图像处理', '模式识别', '经验', '数据挖掘', '数学', '学习', '自然语言', '医学影像']"
2,产品总监,"['体验', '需求', '用户', '行业', '产品', '迭代', '岗位职责', '分析', '竞品', '产品策划', '运营', '协调', '互联网', '产品设计', '制定', '业务', '上线', '团队', '经验', '规划']"
3,技术总监,"['行业', '职务', '以上', '产品', '系统', '管理', '标准', '审核', '设计', '回用', '设备', '处理工艺', '熟悉', '水泥', 'java', '架构', '环境工程', '污水', '开发', '项目', '互联网', '带领', '治理', '生活', '精通', '校验', '制定', '研发', '校准', '团队', '经验', '填写', '工艺', '技术', '环保', '数据库', '架构设计', '填埋场', '公司']"
4,融资总监,"['投资', '融资', '租赁', '岗位职责', '财富', '资金', '评估', '净值', '政府', '渠道', '总监', '募资', '指标', '机构', '制定', '股权', '业务', '银行', '基金', '募集']"
5,分公司总经理,"['大型', '金融机构', '开拓', '以上', '管理', '财富', '第三方', '理财', '指标', '带领', '金融', '分公司', '业务', '团队', '经验', '营销', '筹建', '三方', '具有', '当地']"
6,投资经理,"['综合体', '对拟', '行业', '投资', '职务', '以上学历', '初步', '岗位职责', '清华', '科及', '分析', '投融资', '仓内', '客户资源', '项目风险', '净值', '华南', '政策法规', '理财', '相关', '世茂', '项目', '尽职', '金融', '股权', '投后', '基金', '可行性研究', '尽调', 'pe', '投行', '科创', '估值', '具有']"
7,数据产品经理,"['无人机', '体验', '能力', '功能', '效益', '具备', '条理化', '医疗', '设计', '竞争对手', '岗位职责', '分析', '市场', '完成', '合作伙伴', '优先级', '私募', '生命周期', '改善', '巴南', '研发部', '开发进度', '带领', '功能设计', '业务', '优秀', '研发', 'prd', '经验', '数据挖掘', 'sql', '埋点', '具有', '公司', '发展', '用户', '行业', '品牌', '可视化', '保质', '根据', '数据报表', '孵化', '旅游', '定期', '教育', '导向', 'axure', '省区', '开发', '互联网', '易用性', '金融', '思维', '制定', '效果', '痛点', '团队', '工业品', '规划', '全日制', '督促', '餐补', '逻辑', '产品', '进行', '确认', '清晰明确', '业绩', '同行业', '物流', '年轻人', '竞品', '投资者', '文档', '高保真', '有效', '相关', '主要', '4a', '测绘', '产品策划', '激光雷达', '协调', '跨部门', '运营', '落地', '数据', '报告', '上线', '数据仓库', 'bi', '在线教育', '环保', '主导', '进度表', '基金', '产品开发', '改进', 'ui', '理解', '需求', '挖掘', 'tms', '以上学历', '功能分析', 'app', '农药', '数据分析', '迭代', '把握', '市场需求', '评估', '化学', '高新科技', 'uml', '详细', '原型', '有关', '市场调研', '产品设计', '调研', '开发新', '数据处理', '短期', '聚餐', '沟通']"
8,java开发工程师,"['组态', 'oracle', 'jvm', '调优', '多线程', 'tomcat', '主流', '规范', 'soa', '开发进度', '功能设计', '基础', '研发', '优化', '使用', '经验', '工程师', 'sql', 'https', 'ajax', '面向对象编程', 'jquery', 'javaweb', '性能', '系统', '脚本语言', '钻研', '开源', '熟悉', 'redis', '软件开发', '基础知识', 'springboot', '根据', '缓存', '运维', '开发人员', '至少', '年终奖', 'echarts', 'bug', 'html5', '开发', '易用性', '代码', '精通', '框架', '关系数据库', '架构设计', 'mybatis', '保证系统', '常用', '编写', '源码', '中间件', 'spark', '文档', 'gc', '确保', '交通', '知识', '原理', '分布式系统', '技能', 'vue', '以及', 'html', '技术难题', '单元测试', '说明书', '前端开发', '理解', '开发技术', '设计模式', 'mysql', 'cloud', '程序开发', '要求', 'spring', '系统核心', 'java', 'mvc', '架构', 'springmvc', 'javaee', 'j2ee', 'eclipse', '分布式', '编程技术', '技术', 'springcloud', '数据库', '自测', '计算机相关', '绩效奖金']"
9,销售总监,"['拜访', '底薪', '行业', '高薪', '经费', '高额', '法律顾问', '以上学历', '管理', '知识产权', '考虑', '洽谈', '五险', '新人奖', '20%', '销售', '租赁', '提供', '一金', '待遇', '集团', '岗位职责', '客户', '人寿', '看房', '享有', '电销', '晋升', '客户资源', '关系', '根据', '二手房', '买卖', '空缺', '行业动态', '有效', '辅导', '理财', '晋升制度', '抗压', '理财产品', '金融', '效能', '专业', 'job', '拓展', '制定', '业务', '维护', '建设', '提成', '团队', '培训', '经验', '欣欣', '目标', '20w', '语言表达', '肯吃苦', '甄选', '房源', '下属', '饭补', '链家', '聚餐', '法学专业', '免费', '上班时间', '绿色', '公司']"
10,业务经理,"['能力', '底薪', '融资', '开拓', '贷后', '岗位职责', '客户', '具体', '保险', '金融业务', '渠道', '理财', '客户服务', '业务经理', '开发', '维护', '业务', '达成', '具有', '公司']"
